Offset;Normal Form;Pitch-classes;Scale degrees;Highest pitch;Lowest pitch;Slice_Number;Measure;Chord;Segment_Number;Quality
185,5;[0, 6];[5, 11];[4, 10];77;47;887;47; F5 B2 B3;12;Wt
185,625;[0, 2];[11, 1];[10, 0];73;47;888;47; C#5 B2 B3;12;Wt
185,75;[0];[11];[10];59;47;889;47; B2 B3;12;Wt
185,875;[0, 2];[9, 11];[8, 10];69;47;890;47; A4 B2 B3;12;Wt
186;[0];[1];[0];73;49;891;47; C#5 C#3 C#4;12;Wt
186,125;[0, 4];[9, 1];[8, 0];69;49;892;47; A4 C#3 C#4;12;Wt
186,25;[0];[1];[0];61;49;893;47; C#3 C#4;12;Wt
186,375;[0, 4];[1, 5];[0, 4];65;49;894;47; F4 C#3 C#4;12;Wt
186,5;[0, 4];[9, 1];[8, 0];69;49;895;47; A4 C#3 C#4;12;Wt
186,625;[0, 4];[1, 5];[0, 4];65;49;896;47; F4 C#3 C#4;12;Wt
186,75;[0];[1];[0];61;49;897;47; C#3 C#4;12;Wt
186,875;[0];[1];[0];61;49;898;47; C#4 C#3;12;Wt
187;[0, 4];[1, 5];[0, 4];65;49;899;47; F4 C#3 C#4;12;Wt
187,125;[0, 4];[9, 1];[8, 0];69;49;900;47; A4 C#3 C#4;12;Wt
187,25;[0];[1];[0];61;49;901;47; C#3 C#4;12;Wt
187,375;[0];[1];[0];73;49;902;47; C#5 C#3 C#4;12;Wt
187,5;[0, 6];[3, 9];[2, 8];69;51;903;47; A4 E-3 E-4;12;Wt
187,625;[0, 2];[1, 3];[0, 2];73;51;904;47; C#5 E-3 E-4;12;Wt
187,75;[0];[3];[2];63;51;905;47; E-3 E-4;12;Wt
187,875;[0, 2];[3, 5];[2, 4];77;51;906;47; F5 E-3 E-4;12;Wt
188;[0, 2];[1, 3];[0, 2];73;51;907;47; C#5 E-3 E-4;12;Wt
188,125;[0, 2];[3, 5];[2, 4];77;51;908;47; F5 E-3 E-4;12;Wt
188,25;[0];[3];[2];63;51;909;47; E-3 E-4;12;Wt
188,375;[0, 6];[3, 9];[2, 8];81;51;910;47; A5 E-3 E-4;12;Wt
188,5;[0];[5];[4];77;53;911;47; F5 F3 F4;12;Wt
188,625;[0, 4];[5, 9];[4, 8];81;53;912;47; A5 F3 F4;12;Wt
188,75;[0];[5];[4];65;53;913;47; F3 F4;12;Wt
188,875;[0, 4];[1, 5];[0, 4];85;53;914;47; C#6 F3 F4;12;Wt
189;[0, 2, 5, 8];[5, 7, 10, 1];[4, 6, 9, 0];89;55;915;48; F6 G3 G4 B-3 C#4 F4;12;Wt
189,125;[0, 2, 5, 8];[5, 7, 10, 1];[4, 6, 9, 0];85;55;916;48; C#6 G3 G4 B-3 C#4 F4;12;Wt
189,25;[0, 2, 5, 8];[5, 7, 10, 1];[4, 6, 9, 0];67;55;917;48; G3 G4 B-3 C#4 F4;12;Wt
189,375;[0, 2, 5, 8];[5, 7, 10, 1];[4, 6, 9, 0];82;55;918;48; B-5 G3 G4 B-3 C#4 F4;12;Wt
189,5;[0, 2, 5, 8];[5, 7, 10, 1];[4, 6, 9, 0];85;55;919;48; C#6 G3 G4 B-3 C#4 F4;12;Wt
189,625;[0, 2, 5, 8];[5, 7, 10, 1];[4, 6, 9, 0];82;55;920;48; B-5 G3 G4 B-3 C#4 F4;12;Wt
189,75;[0, 2, 5, 8];[5, 7, 10, 1];[4, 6, 9, 0];67;55;921;48; G3 G4 B-3 C#4 F4;12;Wt
189,875;[0, 2, 5, 8];[5, 7, 10, 1];[4, 6, 9, 0];77;55;922;48; F5 G3 G4 B-3 C#4 F4;12;Wt
190;[0, 1, 4, 8];[9, 10, 1, 5];[8, 9, 0, 4];82;57;923;48; B-5 A4 A3 B-3 C#4 F4;12;Wt
190,125;[0, 1, 4, 8];[9, 10, 1, 5];[8, 9, 0, 4];77;57;924;48; F5 A4 A3 B-3 C#4 F4;12;Wt
190,25;[0, 1, 4, 8];[9, 10, 1, 5];[8, 9, 0, 4];69;57;925;48; A4 A3 B-3 C#4 F4;12;Wt
190,375;[0, 1, 4, 8];[9, 10, 1, 5];[8, 9, 0, 4];73;57;926;48; C#5 A4 A3 B-3 C#4 F4;12;Wt
190,5;[0, 1, 4, 8];[9, 10, 1, 5];[8, 9, 0, 4];77;57;927;48; F5 A4 A3 B-3 C#4 F4;12;Wt
190,625;[0, 1, 4, 8];[9, 10, 1, 5];[8, 9, 0, 4];73;57;928;48; C#5 A4 A3 B-3 C#4 F4;12;Wt
190,75;[0, 1, 4, 8];[9, 10, 1, 5];[8, 9, 0, 4];69;57;929;48; A4 A3 B-3 C#4 F4;12;Wt
190,875;[0, 1, 4, 8];[9, 10, 1, 5];[8, 9, 0, 4];70;57;930;48; B-4 A4 A3 B-3 C#4 F4;12;Wt
191;[0, 1, 4, 8];[9, 10, 1, 5];[8, 9, 0, 4];69;57;931;48; F4 A4 A3 B-3 C#4;12;Wt
191,125;[0, 1, 4, 8];[9, 10, 1, 5];[8, 9, 0, 4];70;57;932;48; B-4 A4 A3 B-3 C#4 F4;12;Wt
191,25;[0, 1, 4, 8];[9, 10, 1, 5];[8, 9, 0, 4];69;57;933;48; A4 A3 B-3 C#4 F4;12;Wt
191,375;[0, 1, 4, 8];[9, 10, 1, 5];[8, 9, 0, 4];73;57;934;48; C#5 A4 A3 B-3 C#4 F4;12;Wt
191,5;[0, 2, 5, 8];[5, 7, 10, 1];[4, 6, 9, 0];70;55;935;48; B-4 G4 G3 B-3 C#4 F4;12;Wt
191,625;[0, 2, 5, 8];[5, 7, 10, 1];[4, 6, 9, 0];73;55;936;48; C#5 G4 G3 B-3 C#4 F4;12;Wt
191,75;[0, 2, 5, 8];[5, 7, 10, 1];[4, 6, 9, 0];67;55;937;48; G4 G3 B-3 C#4 F4;12;Wt
191,875;[0, 2, 5, 8];[5, 7, 10, 1];[4, 6, 9, 0];77;55;938;48; F5 G4 G3 B-3 C#4 F4;12;Wt
192;[0, 2, 5, 8];[5, 7, 10, 1];[4, 6, 9, 0];73;55;939;48; C#5 G4 G3 B-3 C#4 F4;12;Wt
192,125;[0, 2, 5, 8];[5, 7, 10, 1];[4, 6, 9, 0];77;55;940;48; F5 G4 G3 B-3 C#4 F4;12;Wt
192,25;[0, 2, 5, 8];[5, 7, 10, 1];[4, 6, 9, 0];67;55;941;48; G4 G3 B-3 C#4 F4;12;Wt
192,375;[0, 2, 5, 8];[5, 7, 10, 1];[4, 6, 9, 0];82;55;942;48; B-5 G4 G3 B-3 C#4 F4;12;Wt
192,5;[0, 1, 4, 8];[9, 10, 1, 5];[8, 9, 0, 4];77;57;943;48; F5 A3 A4 B-3 C#4 F4;12;Wt
192,625;[0, 1, 4, 8];[9, 10, 1, 5];[8, 9, 0, 4];82;57;944;48; B-5 A3 A4 B-3 C#4 F4;12;Wt
192,75;[0, 1, 4, 8];[9, 10, 1, 5];[8, 9, 0, 4];69;57;945;48; A3 A4 B-3 C#4 F4;12;Wt
192,875;[0, 1, 4, 8];[9, 10, 1, 5];[8, 9, 0, 4];85;57;946;48; C#6 A3 A4 B-3 C#4 F4;12;Wt
193;[0];[11];[10];59;59;947;49; B3;12;Wt
193,125;[0, 2];[11, 1];[10, 0];61;59;948;49; C#4 B3;12;Wt
193,25;[0, 6];[5, 11];[4, 10];65;59;949;49; F4 B3;12;Wt
193,375;[0, 2];[9, 11];[8, 10];69;59;950;49; A4 B3;12;Wt
193,5;[0];[11];[10];71;59;951;49; B4 B3;12;Wt
193,625;[0, 2];[11, 1];[10, 0];73;59;952;49; C#5 B3;12;Wt
193,75;[0, 6];[5, 11];[4, 10];77;59;953;49; F5 B3;12;Wt
193,875;[0, 2];[9, 11];[8, 10];81;59;954;49; A5 B3;12;Wt
194;[0];[11];[10];71;59;955;49; B4 B3;12;Wt
194,125;[0, 2];[11, 1];[10, 0];73;59;956;49; C#5 B3;12;Wt
194,25;[0, 6];[5, 11];[4, 10];77;59;957;49; F5 B3;12;Wt
194,375;[0, 2];[9, 11];[8, 10];81;59;958;49; A5 B3;12;Wt
194,5;[0];[11];[10];83;59;959;49; B5 B3;12;Wt
194,625;[0, 2];[11, 1];[10, 0];85;59;960;49; C#6 B3;12;Wt
194,75;[0, 6];[5, 11];[4, 10];89;59;961;49; F6 B3;12;Wt
194,875;[0, 2];[9, 11];[8, 10];93;59;962;49; A6 B3;12;Wt
195;[0];[11];[10];95;59;963;49; B6 B3;12;Wt
195,125;[0, 2];[9, 11];[8, 10];93;59;964;49; A6 B3;12;Wt
195,25;[0, 6];[5, 11];[4, 10];89;59;965;49; F6 B3;12;Wt
195,375;[0, 2];[11, 1];[10, 0];85;59;966;49; C#6 B3;12;Wt
195,5;[0];[11];[10];83;59;967;49; B5 B3;12;Wt
195,625;[0, 2];[9, 11];[8, 10];81;59;968;49; A5 B3;12;Wt
195,75;[0, 6];[5, 11];[4, 10];77;59;969;49; F5 B3;12;Wt
195,875;[0, 2];[11, 1];[10, 0];73;59;970;49; C#5 B3;12;Wt
196;[0];[11];[10];71;59;971;49; B4 B3;13;Wt
196,125;[0, 2];[9, 11];[8, 10];81;59;972;49; A5 B3;13;Wt
196,25;[0, 6];[5, 11];[4, 10];77;59;973;49; F5 B3;13;Wt
196,375;[0, 2];[11, 1];[10, 0];73;59;974;49; C#5 B3;13;Wt
196,5;[0];[11];[10];71;59;975;49; B4 B3;13;Wt
196,625;[0, 2];[9, 11];[8, 10];69;59;976;49; A4 B3;13;Wt
196,75;[0, 6];[5, 11];[4, 10];65;59;977;49; F4 B3;13;Wt
196,875;[0, 2];[11, 1];[10, 0];61;59;978;49; C#4 B3;13;Wt
197;[0];[11];[10];59;59;979;50; B3;13;Wt
197,125;[0, 2];[11, 1];[10, 0];61;59;980;50; C#4 B3;13;Wt
197,25;[0, 6];[5, 11];[4, 10];65;59;981;50; F4 B3;13;Wt
197,375;[0, 2];[9, 11];[8, 10];69;59;982;50; A4 B3;13;Wt
197,5;[0];[11];[10];71;59;983;50; B4 B3;13;Wt
197,625;[0, 2];[11, 1];[10, 0];73;59;984;50; C#5 B3;13;Wt
197,75;[0, 6];[5, 11];[4, 10];77;59;985;50; F5 B3;13;Wt
197,875;[0, 2];[9, 11];[8, 10];81;59;986;50; A5 B3;13;Wt
198;[0];[11];[10];71;59;987;50; B4 B3;13;Wt
198,125;[0, 2];[11, 1];[10, 0];73;59;988;50; C#5 B3;13;Wt
198,25;[0, 6];[5, 11];[4, 10];77;59;989;50; F5 B3;13;Wt
198,375;[0, 2];[9, 11];[8, 10];81;59;990;50; A5 B3;13;Wt
198,5;[0];[11];[10];83;59;991;50; B5 B3;13;Wt
198,625;[0, 2];[11, 1];[10, 0];85;59;992;50; C#6 B3;13;Wt
198,75;[0, 6];[5, 11];[4, 10];89;59;993;50; F6 B3;13;Wt
198,875;[0, 2];[9, 11];[8, 10];93;59;994;50; A6 B3;13;Wt
199;[0];[11];[10];95;59;995;50; B6 B3;13;Wt
199,125;[0, 2];[9, 11];[8, 10];93;59;996;50; A6 B3;13;Wt
199,25;[0, 6];[5, 11];[4, 10];89;59;997;50; F6 B3;13;Wt
199,375;[0, 2];[11, 1];[10, 0];85;59;998;50; C#6 B3;13;Wt
199,5;[0];[11];[10];83;59;999;50; B5 B3;13;Wt
199,625;[0, 2];[9, 11];[8, 10];81;59;1000;50; A5 B3;13;Wt
199,75;[0, 6];[5, 11];[4, 10];77;59;1001;50; F5 B3;13;Wt
199,875;[0, 2];[11, 1];[10, 0];73;59;1002;50; C#5 B3;13;Wt
200;[0];[11];[10];71;59;1003;50; B4 B3;13;Wt
200,125;[0, 2];[9, 11];[8, 10];81;59;1004;50; A5 B3;13;Wt
200,25;[0, 6];[5, 11];[4, 10];77;59;1005;50; F5 B3;13;Wt
200,375;[0, 2];[11, 1];[10, 0];73;59;1006;50; C#5 B3;13;Wt
200,5;[0];[11];[10];71;59;1007;50; B4 B3;13;Wt
200,625;[0, 2];[9, 11];[8, 10];69;59;1008;50; A4 B3;13;Wt
200,75;[0, 6];[5, 11];[4, 10];65;59;1009;50; F4 B3;13;Wt
200,875;[0, 2];[11, 1];[10, 0];61;59;1010;50; C#4 B3;13;Wt
201;[0];[11];[10];59;59;1011;51; B3;13;Wt
201,25;[0, 2];[11, 1];[10, 0];61;59;1012;51; C#4 B3;13;Wt
201,5;[0, 6];[5, 11];[4, 10];65;59;1013;51; F4 B3;13;Wt
201,75;[0, 2];[9, 11];[8, 10];69;59;1014;51; A4 B3;13;Wt
202;[0];[11];[10];71;59;1015;51; B4 B3;13;Wt
202,25;[0, 2];[11, 1];[10, 0];73;59;1016;51; C#5 B3;13;Wt
202,5;[0, 6];[5, 11];[4, 10];89;59;1017;51; F6 F5 B3;13;Wt
202,75;[0, 4, 6];[5, 9, 11];[4, 8, 10];89;59;1018;51; F6 A5 B3;13;Wt
203;[0, 4];[7, 11];[6, 10];91;59;1019;51; G6 B5 B3;13;Wt
203,25;[0, 2, 4];[7, 9, 11];[6, 8, 10];91;59;1020;51; G6 A5 B3;13;Wt
203,5;[0, 2, 6];[5, 7, 11];[4, 6, 10];91;59;1021;51; G6 F5 B3;13;Wt
203,75;[0, 4, 6];[7, 11, 1];[6, 10, 0];91;59;1022;51; G6 C#5 B3;13;Wt
204;[0, 2, 6, 8];[5, 7, 11, 1];[4, 6, 10, 0];91;59;1023;51; C#6 F6 G6 B4 B3;13;Wt
204,25;[0, 2, 4, 6, 8];[5, 7, 9, 11, 1];[4, 6, 8, 10, 0];91;59;1024;51; G6 C#6 F6 A4 B3;13;Wt
204,5;[0, 2, 6];[11, 1, 5];[10, 0, 4];95;59;1025;51; B6 C#6 F6 F4 B3;13;Wt
204,75;[0, 2, 6];[11, 1, 5];[10, 0, 4];95;59;1026;51; B6 C#6 F6 C#4 B3;13;Wt
205;[0, 2];[9, 11];[8, 10];93;59;1027;52; A6 B3;13;Wt
205,25;[0, 2, 4];[9, 11, 1];[8, 10, 0];93;59;1028;52; A6 C#4 B3;13;Wt
205,5;[0, 4, 6];[5, 9, 11];[4, 8, 10];93;59;1029;52; A6 F4 B3;13;Wt
205,75;[0, 2, 4];[7, 9, 11];[6, 8, 10];91;59;1030;52; G6 A4 B3;13;Wt
206;[0, 6];[5, 11];[4, 10];89;59;1031;52; F6 B4 B3;13;Wt
206,25;[0, 2, 6];[11, 1, 5];[10, 0, 4];89;59;1032;52; F6 C#5 B3;13;Wt
206,5;[0, 6];[5, 11];[4, 10];89;59;1033;52; F6 F5 B3;13;Wt
206,75;[0, 4, 6];[5, 9, 11];[4, 8, 10];89;59;1034;52; F6 A5 B3;13;Wt
207;[0, 6];[5, 11];[4, 10];89;59;1035;52; F6 B5 B3;13;Wt
207,25;[0, 4, 6];[5, 9, 11];[4, 8, 10];89;59;1036;52; F6 A5 B3;13;Wt
207,5;[0, 6];[5, 11];[4, 10];89;59;1037;52; F6 F5 B3;13;Wt
207,75;[0, 2, 6];[11, 1, 5];[10, 0, 4];89;59;1038;52; F6 C#5 B3;13;Wt
208;[0, 2];[11, 1];[10, 0];85;59;1039;52; C#6 B4 B3;13;Wt
208,25;[0, 2, 4];[9, 11, 1];[8, 10, 0];85;59;1040;52; C#6 A4 B3;13;Wt
208,5;[0, 2, 6];[11, 1, 5];[10, 0, 4];85;59;1041;52; C#6 F4 B3;13;Wt
208,75;[0, 2];[11, 1];[10, 0];85;59;1042;52; C#6 C#4 B3;13;Wt
209;[0, 5];[6, 11];[5, 10];90;59;1043;53; F#6 B3;13;Wt
209,125;[0, 3];[3, 6];[2, 5];90;63;1044;53; F#6 E-4;13;Wt
209,25;[0];[6];[5];90;90;1045;53; F#6;13;Wt
209,375;[0];[6];[5];90;66;1046;53; F#6 F#4;13;Wt
209,5;[0, 3];[6, 9];[5, 8];90;69;1047;53; F#6 A4;13;Wt
209,625;[0, 5];[1, 6];[0, 5];90;73;1048;53; F#6 C#5;13;Wt
209,75;[0];[6];[5];90;90;1049;53; F#6;13;Wt
209,875;[0, 3];[3, 6];[2, 5];90;75;1050;53; F#6 E-5;13;Wt
210;[0];[6];[5];90;78;1051;53; F#5 F#6;13;Wt
210,125;[0, 3];[6, 9];[5, 8];90;81;1052;53; A5 F#6;13;Wt
210,25;[0];[6];[5];90;90;1053;53; F#6;13;Wt
210,375;[0, 5];[1, 6];[0, 5];90;85;1054;53; C#6 F#6;13;Wt
210,5;[0, 3];[3, 6];[2, 5];90;87;1055;53; E-6 F#6;13;Wt
210,625;[0];[6];[5];90;90;1056;53; F#6;13;Wt
210,875;[0];[9];[8];93;93;1057;53; A6;13;Wt
211;[0];[1];[0];97;97;1058;53; C#7;13;Wt
211,125;[0];[9];[8];93;93;1059;53; A6;13;Wt
211,375;[0];[6];[5];90;90;1060;53; F#6;13;Wt
211,5;[0];[3];[2];87;87;1061;53; E-6;13;Wt
211,625;[0];[1];[0];85;85;1062;53; C#6;13;Wt
211,875;[0];[9];[8];81;81;1063;53; A5;13;Wt
212;[0];[6];[5];78;78;1064;53; F#5;13;Wt
212,125;[0];[3];[2];75;75;1065;53; E-5;13;Wt
212,375;[0];[1];[0];73;73;1066;53; C#5;13;Wt
212,5;[0];[9];[8];69;69;1067;53; A4;13;Wt
212,625;[0];[6];[5];66;66;1068;53; F#4;13;Wt
212,875;[0];[3];[2];63;63;1069;53; E-4;13;Wt
213;[0];[11];[10];59;59;1070;54; B3;13;Wt
213,125;[0];[3];[2];63;63;1071;54; E-4;13;Wt
213,375;[0];[6];[5];66;66;1072;54; F#4;13;Wt
213,5;[0];[9];[8];69;69;1073;54; A4;13;Wt
213,625;[0];[1];[0];73;73;1074;54; C#5;13;Wt
213,875;[0];[3];[2];75;75;1075;54; E-5;13;Wt
214;[0];[6];[5];78;78;1076;54; F#5;13;Wt
214,125;[0];[9];[8];81;81;1077;54; A5;13;Wt
214,375;[0];[1];[0];85;85;1078;54; C#6;13;Wt
214,5;[0];[3];[2];87;87;1079;54; E-6;13;Wt
214,625;[0];[6];[5];90;90;1080;54; F#6;13;Wt
214,875;[0];[9];[8];93;93;1081;54; A6;13;Wt
215;[0];[1];[0];97;97;1082;54; C#7;13;Wt
215,125;[0];[9];[8];93;93;1083;54; A6;13;Wt
215,375;[0];[6];[5];90;90;1084;54; F#6;13;Wt
215,5;[0];[3];[2];87;87;1085;54; E-6;13;Wt
215,625;[0];[1];[0];85;85;1086;54; C#6;13;Wt
215,875;[0];[9];[8];81;81;1087;54; A5;13;Wt
216;[0];[6];[5];78;78;1088;54; F#5;13;Wt
216,125;[0];[3];[2];75;75;1089;54; E-5;13;Wt
216,375;[0];[1];[0];73;73;1090;54; C#5;13;Wt
216,5;[0];[9];[8];69;69;1091;54; A4;13;Wt
216,625;[0];[6];[5];66;66;1092;54; F#4;13;Wt
216,875;[0];[3];[2];63;63;1093;54; E-4;13;Wt
217;[0];[9];[8];57;57;1094;55; A3;13;Wt
217,25;[0, 3];[9, 0];[8, 11];60;57;1095;55; C4 A3;13;Wt
217,5;[0, 5];[9, 2];[8, 1];62;57;1096;55; D4 A3;13;Wt
217,75;[0, 3];[6, 9];[5, 8];66;57;1097;55; F#4 A3;13;Wt
218;[0];[9];[8];69;57;1098;55; A4 A3;13;Wt
218,25;[0, 3];[9, 0];[8, 11];72;57;1099;55; C5 A3;13;Wt
218,5;[0, 5];[9, 2];[8, 1];74;57;1100;55; D5 A3;13;Wt
218,75;[0, 3];[6, 9];[5, 8];78;57;1101;55; F#5 A3;13;Wt
219;[0];[9];[8];81;57;1102;55; A5 A3;13;Wt
219,25;[0, 3];[6, 9];[5, 8];78;57;1103;55; F#5 A3;13;Wt
219,5;[0, 5];[9, 2];[8, 1];74;57;1104;55; D5 A3;13;Wt
219,75;[0, 3, 6];[6, 9, 0];[5, 8, 11];90;57;1105;55; F#6 F#5 C5 A3;13;Wt
220;[0, 1, 4, 6];[8, 9, 0, 2];[7, 8, 11, 1];92;57;1106;55; G#5 G#6 C6 D6 A4 A3;13;Wt
220,25;[0, 2, 3, 6, 8];[6, 8, 9, 0, 2];[5, 7, 8, 11, 1];92;57;1107;55; G#5 G#6 C6 D6 F#4 A3;13;Wt
220,5;[0, 1, 4, 6];[8, 9, 0, 2];[7, 8, 11, 1];92;57;1108;55; G#5 G#6 C6 D6 D4 A3;13;Wt
220,75;[0, 2, 3, 5];[9, 11, 0, 2];[8, 10, 11, 1];95;57;1109;55; B5 B6 C6 D6 C4 A3;13;Wt
221;[0, 1, 4, 7];[8, 9, 0, 3];[7, 8, 11, 2];93;56;1110;56; E-6 A5 A6 C6 G#3;14;T
221,25;[0, 1, 4, 7];[8, 9, 0, 3];[7, 8, 11, 2];93;56;1111;56; E-6 A5 A6 C6 C4 G#3;14;T
221,5;[0, 1, 4, 7];[8, 9, 0, 3];[7, 8, 11, 2];93;56;1112;56; E-6 A5 A6 C6 E-4 G#3;14;T
221,75;[0, 3, 6, 8];[0, 3, 6, 8];[11, 2, 5, 7];92;56;1113;56; G#6 G#5 E-6 C6 F#4 G#3;14;T
222;[0, 3, 6, 8, 9];[0, 3, 6, 8, 9];[11, 2, 5, 7, 8];90;56;1114;56; F#5 F#6 E-6 C6 A4 G#3;14;T
222,25;[0, 3, 6, 8];[0, 3, 6, 8];[11, 2, 5, 7];90;56;1115;56; E-6 F#5 F#6 C6 C5 G#3;14;T
222,5;[0, 3, 6, 8];[0, 3, 6, 8];[11, 2, 5, 7];90;56;1116;56; E-6 F#5 F#6 C6 E-5 G#3;14;T
222,75;[0, 3, 6, 8];[0, 3, 6, 8];[11, 2, 5, 7];90;56;1117;56; E-6 F#5 F#6 C6 G#3;14;T
223;[0, 3, 6, 8, 9];[0, 3, 6, 8, 9];[11, 2, 5, 7, 8];90;56;1118;56; E-6 F#5 F#6 C6 A5 G#3;14;T
223,25;[0, 3, 6, 8];[0, 3, 6, 8];[11, 2, 5, 7];90;56;1119;56; E-6 F#5 F#6 C6 G#3;14;T
223,5;[0, 3, 6, 8];[0, 3, 6, 8];[11, 2, 5, 7];90;56;1120;56; E-6 F#5 F#6 C6 E-5 G#3;14;T
223,75;[0, 3, 6, 8];[0, 3, 6, 8];[11, 2, 5, 7];90;56;1121;56; E-6 F#5 F#6 C6 C5 G#3;14;T
224;[0, 1, 4, 7];[8, 9, 0, 3];[7, 8, 11, 2];87;56;1122;56; E-6 E-5 C6 A4 G#3;14;T
224,25;[0, 3, 6, 8];[0, 3, 6, 8];[11, 2, 5, 7];87;56;1123;56; E-6 E-5 C6 F#4 G#3;14;T
224,5;[0, 4, 7];[8, 0, 3];[7, 11, 2];87;56;1124;56; E-6 E-5 C6 E-4 G#3;14;T
224,75;[0, 4, 7];[8, 0, 3];[7, 11, 2];87;56;1125;56; E-6 E-5 C6 C4 G#3;14;T
225;[0, 4, 7];[3, 7, 10];[2, 6, 9];91;27;1126;57; G5 B-5 E-6 G6 E-2 E-1;14;T
225,125;[0, 4, 7];[3, 7, 10];[2, 6, 9];91;27;1127;57; G5 B-5 E-6 G6 B-2 E-1;14;T
225,25;[0, 4, 7];[3, 7, 10];[2, 6, 9];91;27;1128;57; G5 B-5 E-6 G6 E-1;14;T
225,375;[0, 4, 7];[3, 7, 10];[2, 6, 9];91;27;1129;57; G5 B-5 E-6 G6 E-3 E-1;14;T
225,5;[0, 4, 7];[3, 7, 10];[2, 6, 9];91;27;1130;57; G3 G5 B-5 E-6 G6 B-2 E-1;14;T
225,625;[0, 4, 7];[3, 7, 10];[2, 6, 9];91;27;1131;57; B-3 G5 B-5 E-6 G6 E-3 E-1;14;T
225,75;[0, 4, 7];[3, 7, 10];[2, 6, 9];91;27;1132;57; G5 B-5 E-6 G6 E-1;14;T
225,875;[0, 4, 7];[3, 7, 10];[2, 6, 9];91;27;1133;57; E-4 G5 B-5 E-6 G6 G3 E-1;14;T
226;[0, 4, 7];[3, 7, 10];[2, 6, 9];91;27;1134;57; G4 G5 B-5 E-6 G6 B-3 E-1;14;T
226,125;[0, 4, 7];[3, 7, 10];[2, 6, 9];91;27;1135;57; B-4 G5 B-5 E-6 G6 E-4 E-1;14;T
226,25;[0, 4, 7];[3, 7, 10];[2, 6, 9];91;27;1136;57; G5 B-5 E-6 G6 E-1;14;T
226,375;[0, 4, 7];[3, 7, 10];[2, 6, 9];91;27;1137;57; E-5 G5 B-5 E-6 G6 G4 E-1;14;T
226,5;[0, 4, 7];[3, 7, 10];[2, 6, 9];91;27;1138;57; G5 B-5 E-6 G6 B-4 E-1;14;T
226,625;[0, 4];[3, 7];[2, 6];91;27;1139;57; E-6 G6 E-5 E-1;14;T
226,75;[0, 4];[3, 7];[2, 6];91;27;1140;57; E-6 G6 E-1;14;T
226,875;[0, 4];[3, 7];[2, 6];91;27;1141;57; E-6 G6 G5 E-1;14;T
227;[0, 4, 7];[3, 7, 10];[2, 6, 9];91;27;1142;57; G6 B-5 E-1;14;T
227,125;[0, 4];[3, 7];[2, 6];87;27;1143;57; E-6 G5 E-1;14;T
227,25;[0];[3];[2];27;27;1144;57; E-1;14;T
227,375;[0, 5];[10, 3];[9, 2];82;27;1145;57; B-5 E-5 E-1;14;T
227,5;[0, 4, 7];[3, 7, 10];[2, 6, 9];79;27;1146;57; G5 B-4 E-1;14;T
227,625;[0, 4];[3, 7];[2, 6];75;27;1147;57; E-5 G4 E-1;14;T
227,75;[0];[3];[2];27;27;1148;57; E-1;14;T
227,875;[0, 5];[10, 3];[9, 2];70;27;1149;57; B-4 E-4 E-1;14;T
228;[0, 4, 7];[3, 7, 10];[2, 6, 9];67;27;1150;57; G4 B-3 E-1;14;T
228,125;[0, 4];[3, 7];[2, 6];63;27;1151;57; E-4 G3 E-1;14;T
228,25;[0];[3];[2];27;27;1152;57; E-1;14;T
228,375;[0, 5];[10, 3];[9, 2];58;27;1153;57; B-3 E-3 E-1;14;T
228,5;[0, 4, 7];[3, 7, 10];[2, 6, 9];55;27;1154;57; G3 B-2 E-1;14;T
228,625;[0, 4];[3, 7];[2, 6];55;27;1155;57; G3 G2 E-1;14;T
228,75;[0, 4];[3, 7];[2, 6];55;27;1156;57; G3 E-1;14;T
228,875;[0, 4];[3, 7];[2, 6];55;27;1157;57; G3 E-2 E-1;14;T
229;[0];[3];[2];27;27;1158;58; E-1;14;T
229,25;[0];[3];[2];39;27;1159;58; E-2 E-1;14;T
229,5;[0, 5];[10, 3];[9, 2];46;27;1160;58; B-2 E-1;14;T
229,625;[0, 4, 7];[3, 7, 10];[2, 6, 9];82;27;1161;58; B-4 E-5 G5 B-5 E-1 B-2;14;T
229,75;[0, 4, 7];[3, 7, 10];[2, 6, 9];82;27;1162;58; B-4 E-5 G5 B-5 E-3 E-1;14;T
230;[0, 4, 7];[3, 7, 10];[2, 6, 9];82;27;1163;58; B-4 E-5 G5 B-5 G3 E-1;14;T
230,25;[0, 5];[10, 3];[9, 2];58;27;1164;58; B-3 E-1;14;T
230,375;[0, 2, 5];[10, 0, 3];[9, 11, 2];84;27;1165;58; C5 C6 E-1 B-3;14;T
230,5;[0, 3];[0, 3];[11, 2];84;27;1166;58; C5 C6 E-4 E-1;14;T
230,75;[0, 3, 7];[0, 3, 7];[11, 2, 6];84;27;1167;58; C5 C6 G4 E-1;14;T
231;[0, 4, 7];[3, 7, 10];[2, 6, 9];87;27;1168;58; E-5 G5 B-5 E-6 B-4 E-1;14;T
231,25;[0, 4, 7];[3, 7, 10];[2, 6, 9];87;27;1169;58; E-5 G5 B-5 E-6 G4 E-1;14;T
231,5;[0, 4, 7];[3, 7, 10];[2, 6, 9];87;27;1170;58; E-5 G5 B-5 E-6 E-4 E-1;14;T
231,625;[0, 2];[1, 3];[0, 2];85;27;1171;58; C#5 C#6 E-4 E-1;14;T
